cartodb_id,the_geom,address,level,low_income,asian,white,hispanic,black,name
2,0101000020E6100000226C787AA5C851C0D7A0D4038B234540,"426 Beech StreetRoslindale, MA 02131",2,67.6,5.1,20.5,38.2,31.1,Bates
9,0101000020E61000001C08C90226C851C0A5BDC11726234540,"450 Poplar StreetRoslindale, MA 02131",1,71.6,3.2,19.7,37.6,36.2,Conley
57,0101000020E6100000382D78D157CA51C062A1D634EF2C4540,"50 Beechcroft St.Brighton, MA 02135",2,49.3,12.7,41.9,23.9,15.5,Lyon 
17,0101000020E610000063B1F270A7C351C04364A25236304540,"50 Bunker Hill StreetCharlestown, MA 02129",3,83.7,29.5,9.1,37.4,21.4,Harvard/Kent
30,0101000020E61000005197D6F03EC351C07FDC7EF9642A4540,"50 Rev. Burke St.South Boston, MA 02127",3,88.7,4.4,11.7,35.1,44,Perkins
70,0101000020E6100000077C7E1821C451C0C6A2E9EC64304540,"50 School StreetCharlestown, MA 02129",2,56.3,4.4,54.6,25.5,10.9,Warren/Prescott 
3,0101000020E6100000F29881CAF8C951C0E8C1DD59BB214540,"5125 Washington StreetWest Roxbury, MA 02132",0,50,4.5,33.4,35,22.6,Beethoven (K1-2)
16,0101000020E610000082925DC4D2C551C0CC1EB292A0294540,"51 Cedar StreetRoxbury, MA 02119",1,82.4,1.1,1.1,33.5,56,Hale
38,0101000020E610000051C07630E2C951C01B5D4A02792C4540,"54 Dighton StreetBrighton, MA 02135",3,74.8,8.6,20.9,41.4,24.8,Winship
47,0101000020E6100000C6E1CCAFE6C651C03F1D8F19A8244540,570 American Legion HighwayRoslindale 02131,3,54.4,3.1,29.5,30.5,29.8,Haley (K0-7) 1
59,0101000020E6100000F67F0EF3E5C551C073D712F241234540,"5 Mildred Ave.Mattapan, MA 02126",3,87.8,0.9,2,21.6,73.6,Mildred Ave. 
43,0101000020E6100000C347C49448CA51C0A433D538402C4540,"60 Glenmont RoadBrighton, MA 02135",3,82,12.2,15.3,45.6,23.8,Edison
49,0101000020E6100000DB7525B847C651C03160C9552C284540,"61 School StreetRoxbury, MA 02119",2,76,0.2,4.8,91.1,3.1,Hernández
36,0101000020E610000066C5CB2E73C251C00061962CDD2A4540,"650 E. Fourth St.South Boston, MA 02127",3,85.3,8.1,21.6,23.9,42.1,Tynan
51,0101000020E61000007429AE2AFBC451C08FC2F5285C2B4540,"70 Worcester St.Boston, MA 02118",1,72.6,0,19.6,73.5,3.9,Hurley
13,0101000020E6100000CA726D03D2C351C0CCC86A042C284540,"71 Pleasant StreetDorchester, MA 02125United States",3,80,21.1,6.4,31.4,38.2,Everett
64,0101000020E6100000AEAB13E1F0C151C00E507523872A4540,"745 E. Seventh St.South Boston, MA 02127",3,68.9,4,54.6,21.1,20.3,Perry
33,0101000020E6100000DD1445FECFC351C074E72E2EFA284540,"750 Columbia Rd.Dorchester, MA 02125",1,76.5,9.7,1.6,56.2,27.3,Russell
54,0101000020E610000014B35E0CE5C451C0008C67D0D0274540,"77 Lawrence Ave.Dorchester, MA 02121",3,90.1,0.8,1.2,30.4,62.9,King
19,0101000020E6100000BB61DBA2CCC651C017DE40DC30294540,"7 Bolster St.Jamaica Plain, MA 02130",3,88.5,0.8,2.8,75,19.8,"Kennedy, J. F. 3"
37,0101000020E6100000DFE00B93A9C451C050AA7D3A1E274540,"85 Olney St.Dorchester, MA 02121",5,86.1,13.1,0.8,41.8,43,UP Academy Holland
32,0101000020E610000039B9DFA128C451C0E3AAB2EF8A2C4540,"885 Washington St.Boston, MA 02111",2,78.6,56.7,7.9,15.5,16.2,Quincy
63,0101000020E6100000BB174E88EFC451C08BC0FD254E2A4540,"906 Albany St.Roxbury, MA 02119",2,83.9,1,1.2,53.2,41.9,Orchard Gardens
